Fold,RMSE,MAPE,MAE
1,1055.277408080556,10.668111867358219,670.2061872687008
2,978.188353693467,9.51059455925909,661.4006451110016
3,900.645787674943,8.882318413114056,595.2535360266671
4,1293.3690017698252,11.094119114758756,805.1003573175785
